insee,nom,couleur
01001,L'Abergement-Clémenciat,4
01002,L'Abergement-de-Varey,1
01004,Ambérieu-en-Bugey,5
01005,Ambérieux-en-Dombes,4
01006,Ambléon,1
01007,Ambronay,3
01008,Ambutrix,2
01009,Andert-et-Condon,1
01010,Anglefort,2
01011,Apremont,3
01012,Aranc,1
01013,Arandas,5
01014,Arbent,1
01015,Arbignieu,5
01016,Arbigny,5
01017,Argis,1
01019,Armix,5
01021,Ars-sur-Formans,2
01022,Artemare,1
01023,Asnières-sur-Saône,4
01024,Attignat,3
01025,Bâgé-la-Ville,1
01026,Bâgé-le-Châtel,5
01027,Balan,5
01028,Baneins,1
01029,Beaupont,1
01030,Beauregard,3
01031,Bellignat,1
01032,Béligneux,2
01033,Bellegarde-sur-Valserine,2
01034,Belley,3
01035,Belleydoux,2
01036,Belmont-Luthézieu,4
01037,Bénonces,3
01038,Bény,2
01039,Béon,4
01040,Béréziat,1
01041,Bettant,4
01042,Bey,2
01043,Beynost,3
01044,Billiat,1
01045,Birieux,5
01046,Biziat,1
01047,Blyes,4
01049,La Boisse,5
01050,Boissey,3
01051,Bolozon,1
01052,Bouligneux,2
01053,Bourg-en-Bresse,4
01054,Bourg-Saint-Christophe,1
01056,Boyeux-Saint-Jérôme,5
01057,Boz,3
01058,Brégnier-Cordon,1
01059,Brénaz,5
01060,Brénod,1
01061,Brens,1
01062,Bressolles,3
01063,Brion,2
01064,Briord,3
01065,Buellas,5
01066,La Burbanche,2
01067,Ceignes,4
01068,Cerdon,1
01069,Certines,1
01071,Cessy,1
01072,Ceyzériat,1
01073,Ceyzérieu,2
01074,Chalamont,1
01075,Chaleins,4
01076,Chaley,1
01077,Challes-la-Montagne,1
01078,Challex,5
01079,Champagne-en-Valromey,1
01080,Champdor,3
01081,Champfromier,3
01082,Chanay,2
01083,Chaneins,2
01084,Chanoz-Châtenay,1
01085,La Chapelle-du-Châtelard,3
01087,Charix,1
01088,Charnoz-sur-Ain,2
01089,Château-Gaillard,2
01090,Châtenay,2
01091,Châtillon-en-Michaille,1
01092,Châtillon-la-Palud,2
01093,Châtillon-sur-Chalaronne,2
01094,Chavannes-sur-Reyssouze,1
01095,Chavannes-sur-Suran,1
01096,Chaveyriat,3
01097,Chavornay,5
01098,Chazey-Bons,2
01099,Chazey-sur-Ain,3
01100,Cheignieu-la-Balme,5
01101,Chevillard,5
01102,Chevroux,4
01103,Chevry,2
01104,Chézery-Forens,1
01105,Civrieux,4
01106,Cize,5
01107,Cleyzieu,4
01108,Coligny,4
01109,Collonges,1
01110,Colomieu,3
01111,Conand,1
01112,Condamine,4
01113,Condeissiat,2
01114,Confort,5
01115,Confrançon,5
01116,Contrevoz,2
01117,Conzieu,4
01118,Corbonod,1
01119,Corcelles,5
01121,Corlier,2
01122,Cormaranche-en-Bugey,1
01123,Cormoranche-sur-Saône,5
01124,Cormoz,4
01125,Corveissiat,4
01127,Courmangoux,4
01128,Courtes,5
01129,Crans,4
01130,Cras-sur-Reyssouze,5
01133,Cressin-Rochefort,5
01134,Crottet,3
01135,Crozet,5
01136,Cruzilles-lès-Mépillat,1
01138,Culoz,3
01139,Curciat-Dongalon,4
01140,Curtafond,1
